[11:25:29.298]	TCP Server Open (Port : 25007)
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-11/BPN_2,-38/BPN_1,-33/BPN_4,-36
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-52
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-40/BPN_2,-12/BPN_1,-40/BPN_4,-39
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-52
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-48
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-12/BPN_2,-11/BPN_1,-34/BPN_4,-29
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-70
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-10/BPN_1,-42/BPN_4,-14
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:23.197]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-41
[11:33:24.630]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:24.630]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-16/BPN_2,-35/BPN_1,-51/BPN_4,-8
[11:33:24.630]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:33:25.603]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:26.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-50
[11:33:26.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-47
[11:33:26.847]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:26.847]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-12/BPN_2,-12/BPN_1,-49/BPN_4,-42
[11:33:26.847]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:33:27.674]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-72
[11:33:27.674]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:33:29.979]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:29.979]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-32
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-41/BPN_1,-49/BPN_4,-40
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:30.287]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:47.265]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:33:47.529]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-12/BPN_1,-54/BPN_4,-43
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-72
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-47/BPN_2,-44/BPN_1,-39/BPN_4,-38
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-48
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-28/BPN_2,-40/BPN_1,-56/BPN_4,-43
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-70
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-29
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-42/BPN_2,-38/BPN_1,-55/BPN_4,-42
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-56
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-42
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-44/BPN_1,-50/BPN_4,-45
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-50
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-48
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-43/BPN_1,-52/BPN_4,-9
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-11/BPN_1,-14/BPN_4,-42
[11:33:48.331]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:49.067]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:49.068]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-46/BPN_2,-10/BPN_1,-52/BPN_4,-39
[11:33:49.068]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-47
[11:33:49.931]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:33:50.943]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-70
[11:33:51.139]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:33:51.139]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-43/BPN_1,-54/BPN_4,-52
[11:33:51.139]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-44
[11:34:11.432]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-43/BPN_2,-9/BPN_1,-54/BPN_4,-12
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-32
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-50
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-43/BPN_2,-10/BPN_1,-13/BPN_4,-11
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-46
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:34:12.348]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-44
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-34/BPN_2,-39/BPN_1,-52/BPN_4,-18
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-46
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-90
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-13/BPN_2,-44/BPN_1,-42/BPN_4,-17
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-46/BPN_2,-39/BPN_1,-51/BPN_4,-42
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-66
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-44
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-46/BPN_2,-12/BPN_1,-52/BPN_4,-42
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-50
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-12/BPN_1,-52/BPN_4,-16
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-10/BPN_1,-39/BPN_4,-41
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-29
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-70
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-44
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-46/BPN_2,-40/BPN_1,-38/BPN_4,-41
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-36
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-48
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-12/BPN_2,-10/BPN_1,-19/BPN_4,-42
[11:34:12.349]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:34:12.824]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-48
[11:34:13.003]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:34:13.410]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:34:13.834]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:13.834]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-33/BPN_2,-9/BPN_1,-19/BPN_4,-41
[11:34:13.834]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-71
[11:34:14.457]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:34:15.618]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:34:18.475]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:18.475]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:34:18.899]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:34:19.327]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:34:19.327]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:19.327]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-12/BPN_2,-9/BPN_1,-54/BPN_4,-42
[11:34:19.327]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-49
[11:34:19.327]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:34:19.972]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:34:21.833]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:21.834]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-38/BPN_2,-10/BPN_1,-54/BPN_4,-41
[11:34:21.834]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:34:22.621]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:22.621]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-38/BPN_2,-10/BPN_1,-54/BPN_4,-41
[11:34:22.621]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:34:22.621]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:34:25.740]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:34:28.852]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:34:28.852]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:28.852]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-52
[11:34:29.344]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:34:40.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:34:42.316]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:34:42.316]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:34:42.316]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-13/BPN_2,-43/BPN_1,-52/BPN_4,-42
[11:34:42.316]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:34:42.316]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-42
[11:35:05.916]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:05.916]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-10/BPN_1,-49/BPN_4,-43
[11:35:05.916]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-64
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-44/BPN_2,-10/BPN_1,-49/BPN_4,-43
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-64
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-10/BPN_2,-11/BPN_1,-38/BPN_4,-42
[11:35:06.067]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:35:06.217]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:35:06.368]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-48
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-48
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-10/BPN_2,-13/BPN_1,-49/BPN_4,-42
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-47
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-67
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-56/BPN_2,-21/BPN_1,-28/BPN_4,-41
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-10/BPN_2,-41/BPN_1,-26/BPN_4,-80
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-48
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-50
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-47
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-10/BPN_2,-9/BPN_1,-52/BPN_4,-42
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-23/BPN_2,-22/BPN_1,-52/BPN_4,-22
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:35:06.519]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:06.669]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-49
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-13/BPN_2,-43/BPN_1,-51/BPN_4,-37
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-48
[11:35:06.820]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:35:06.971]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:06.971]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-48/BPN_2,-10/BPN_1,-50/BPN_4,-10
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-48/BPN_2,-10/BPN_1,-50/BPN_4,-10
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-65
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-38/BPN_2,-12/BPN_1,-53/BPN_4,-45
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-46
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-36
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-48
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-36/BPN_2,-45/BPN_1,-44/BPN_4,-42
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:12,-47
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-29
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-10/BPN_1,-39/BPN_4,-43
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-29
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-45
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-41/BPN_2,-39/BPN_1,-52/BPN_4,-42
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-45
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-10/BPN_2,-8/BPN_1,-35/BPN_4,-42
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-44
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-31/BPN_2,-40/BPN_1,-49/BPN_4,-17
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-42
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-67
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-42
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-30
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-43
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-15/BPN_2,-31/BPN_1,-54/BPN_4,-71
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-51
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-50
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:0e,-28
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001GF000.0000F000.0000
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001WBPN_3,-40/BPN_2,-32/BPN_1,-67/BPN_4,-19
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:11,-68
[11:35:07.122]	[<<-RECV] :175.223.31.201, 	0001B50:8d:6f:b0:02:14,-43
